"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, PETROLEUM' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,SPE JOURNAL,2.550,0.887
2,JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,2.382,0.667
3,Petroleum Exploration and Development,2.065,0.567
4,Petroleum Science,1.624,0.405
5,SPE RESERVOIR EVALUATION & ENGINEERING,1.615,0.734
6,Oil & Gas Science and Technology-Revue d IFP Energies nouvelles,1.399,0.380
7,SPE Production & Operations,1.162,0.407
8,SPE DRILLING & COMPLETION,1.000,0.291
9,Petrophysics,0.985,0.345
10,PETROLEUM SCIENCE AND TECHNOLOGY,0.981,0.116
11,PETROLEUM CHEMISTRY,0.932,0.133
12,OIL SHALE,0.854,0.193
13,JOURNAL OF THE JAPAN PETROLEUM INSTITUTE,0.631,0.148
14,International Journal of Oil Gas and Coal Technology,0.563,0.150
15,CHEMISTRY AND TECHNOLOGY OF FUELS AND OILS,0.360,0.051
16,China Petroleum Processing & Petrochemical Technology,0.325,0.058
17,OIL GAS-EUROPEAN MAGAZINE,0.321,0.043
18,CT&F-Ciencia Tecnologia y Futuro,0.241,0.068
19,OIL & GAS JOURNAL,0.058,0.028
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
